,product brand,product name,price,store name
9891,Unknown,"Zucchini Pepper Kebab, 4 pack",10.0,"Brewery Dist, Edmonton"
10728,Unknown,"Zucchini Pepper Kebab, 2 pack",6.0,"Brewery Dist, Edmonton"
3719,Unknown,Zucchini,1.66,"Mclaughlin, Toronto"
9434,Unknown,Zucchini,1.85,"Brewery Dist, Edmonton"
18,Unknown,Zucchini,1.85,"Lonsdale, Vancouver"
13784,Unknown,Zucchini,1.66,"Mcarthur, Ottawa"
14770,Unknown,Yellow Yams,6.05,"Mcarthur, Ottawa"
4702,Unknown,Yellow Yams,6.05,"Mclaughlin, Toronto"
7402,Unknown,"Yellow Russet Potatoes, 10 Lbs",6.99,"Mclaughlin, Toronto"
4684,Unknown,Yellow Potatoes,1.98,"Mclaughlin, Toronto"
14752,Unknown,Yellow Potatoes,1.98,"Mcarthur, Ottawa"
981,Unknown,Yellow Potatoes,1.78,"Lonsdale, Vancouver"
3122,Unknown,Yellow Peaches,3.08,"Lonsdale, Vancouver"
12584,Unknown,Yellow Peaches,3.08,"Brewery Dist, Edmonton"
9676,Unknown,Yellow Onions Diced,4.0,"Brewery Dist, Edmonton"
16381,Unknown,Yellow Onion,1.54,"Mcarthur, Ottawa"
6297,Unknown,Yellow Onion,1.54,"Mclaughlin, Toronto"
11531,Unknown,Yellow Nectarines,2.16,"Brewery Dist, Edmonton"
14765,Unknown,Yellow Dragon Fruit,5.99,"Mcarthur, Ottawa"
10410,Unknown,Yellow Dragon Fruit,6.99,"Brewery Dist, Edmonton"
4704,Unknown,Yellow Dragon Fruit,5.99,"Mclaughlin, Toronto"
6304,Unknown,Yellow Beans,5.99,"Mclaughlin, Toronto"
14483,Unknown,Yellow Asian Pears,2.46,"Mcarthur, Ottawa"
965,Unknown,Yellow Asian Pears,2.46,"Lonsdale, Vancouver"
10130,Unknown,Yellow Asian Pears,2.46,"Brewery Dist, Edmonton"
8723,Unknown,"Wonderful Pistachios, Shelled",8.99,"Mclaughlin, Toronto"
13906,Unknown,White Yams,6.05,"Mcarthur, Ottawa"
5834,Unknown,White Yams,6.05,"Mclaughlin, Toronto"
15452,Unknown,White Potatoes,2.37,"Mcarthur, Ottawa"
5397,Unknown,White Potatoes,2.37,"Mclaughlin, Toronto"
11097,Unknown,White Potatoes,2.37,"Brewery Dist, Edmonton"
10720,Unknown,White Peaches,2.31,"Brewery Dist, Edmonton"
15081,Unknown,White Peaches,2.31,"Mcarthur, Ottawa"
5014,Unknown,White Peaches,2.31,"Mclaughlin, Toronto"
1300,Unknown,White Peaches,2.31,"Lonsdale, Vancouver"
2611,Unknown,White Onion,2.44,"Lonsdale, Vancouver"
7404,Unknown,White Onion,2.19,"Mclaughlin, Toronto"
17480,Unknown,White Onion,2.19,"Mcarthur, Ottawa"
12542,Unknown,White Onion,2.44,"Brewery Dist, Edmonton"
11573,Unknown,White Mushrooms,0.36,"Brewery Dist, Edmonton"
2139,Unknown,White Mushrooms,0.36,"Lonsdale, Vancouver"
975,Unknown,White Flesh Nectarine,1.06,"Lonsdale, Vancouver"
14744,Unknown,White Flesh Nectarine,1.85,"Mcarthur, Ottawa"
10388,Unknown,White Flesh Nectarine,1.06,"Brewery Dist, Edmonton"
4685,Unknown,White Flesh Nectarine,1.85,"Mclaughlin, Toronto"
13903,Unknown,Watermelon Quarters,6.28,"Mcarthur, Ottawa"
7415,Unknown,Watermelon Cubed Small 300G,6.0,"Mclaughlin, Toronto"
1314,Unknown,Watermelon Cubed Small 300G,6.0,"Lonsdale, Vancouver"
15915,Unknown,Watermelon Cubed Large,10.0,"Mcarthur, Ottawa"
11547,Unknown,Watermelon Cubed Large,9.0,"Brewery Dist, Edmonton"
140,Unknown,Watermelon Cubed Large,9.0,"Lonsdale, Vancouver"
12045,Unknown,Watercress,3.99,"Brewery Dist, Edmonton"
6855,Unknown,Watercress,2.49,"Mclaughlin, Toronto"
974,Unknown,Villagio Marzano Tomatoes,7.99,"Lonsdale, Vancouver"
10387,Unknown,Villagio Marzano Tomatoes,7.99,"Brewery Dist, Edmonton"
5418,Unknown,Vero Tomato,6.99,"Mclaughlin, Toronto"
15477,Unknown,Vero Tomato,6.99,"Mcarthur, Ottawa"
1710,Unknown,Veggie Tripack,14.0,"Lonsdale, Vancouver"
15892,Unknown,Veggie Tripack,14.0,"Mcarthur, Ottawa"
11542,Unknown,Veggie Tripack,14.0,"Brewery Dist, Edmonton"
131,Unknown,"Veggie Platter, Small",15.0,"Lonsdale, Vancouver"
3966,Unknown,"Veggie Platter, Small",14.0,"Mclaughlin, Toronto"
1315,Unknown,Vegetable Platter Large,21.0,"Lonsdale, Vancouver"
17492,Unknown,Vegetable Platter Large,21.0,"Mcarthur, Ottawa"
15461,Unknown,Turnips,2.92,"Mcarthur, Ottawa"
5426,Unknown,Turnips,2.92,"Mclaughlin, Toronto"
11104,Unknown,Turnips,2.5,"Brewery Dist, Edmonton"
3826,Unknown,Turmeric,4.32,"Mclaughlin, Toronto"
13877,Unknown,Turmeric,4.32,"Mcarthur, Ottawa"
14037,Unknown,Turkish Pearl Couscous Salad,5.61,"Mcarthur, Ottawa"
3960,Unknown,Turkish Pearl Couscous Salad,5.61,"Mclaughlin, Toronto"
14732,Unknown,Tomatoes,6.99,"Mcarthur, Ottawa"
7410,Unknown,Tomato Sugar Bomb,6.99,"Mclaughlin, Toronto"
17488,Unknown,Tomato Sugar Bomb,6.99,"Mcarthur, Ottawa"
3707,Unknown,Tomato On The Vine Red (1 Bunch),2.33,"Mclaughlin, Toronto"
13773,Unknown,Tomato On The Vine Red (1 Bunch),2.33,"Mcarthur, Ottawa"
9423,Unknown,Tomato On The Vine Red (1 Bunch),4.68,"Brewery Dist, Edmonton"
7,Unknown,Tomato On The Vine Red (1 Bunch),4.68,"Lonsdale, Vancouver"
9516,Unknown,Tomato Grape Cherub,6.99,"Brewery Dist, Edmonton"
10749,Unknown,Tomato Bocconcini Salad,9.0,"Brewery Dist, Edmonton"
9,Unknown,Tomato Beefsteak Red,1.47,"Lonsdale, Vancouver"
13774,Unknown,Tomato Beefsteak Red,1.47,"Mcarthur, Ottawa"
3709,Unknown,Tomato Beefsteak Red,1.47,"Mclaughlin, Toronto"
9425,Unknown,Tomato Beefsteak Red,1.47,"Brewery Dist, Edmonton"
4180,Unknown,The Chop,12.0,"Mclaughlin, Toronto"
3981,Unknown,The Built,12.0,"Mclaughlin, Toronto"
14742,Unknown,"Taro Root, Medium",16.46,"Mcarthur, Ottawa"
4694,Unknown,"Taro Root, Medium",16.46,"Mclaughlin, Toronto"
14019,Unknown,Tamarinds,5.99,"Mcarthur, Ottawa"
3807,Unknown,Tamarinds,5.99,"Mclaughlin, Toronto"
9534,Unknown,Tamarinds,5.99,"Brewery Dist, Edmonton"
13159,Unknown,Taiwanese Flat Cabbage,3.97,"Brewery Dist, Edmonton"
8730,Unknown,Taiwanese Flat Cabbage,4.96,"Mclaughlin, Toronto"
14763,Unknown,Sweet Potato Crinkle Fries,7.0,"Mcarthur, Ottawa"
13808,Unknown,Sweet Potato,2.49,"Mcarthur, Ottawa"
9458,Unknown,Sweet Potato,3.46,"Brewery Dist, Edmonton"
3744,Unknown,Sweet Potato,2.49,"Mclaughlin, Toronto"
43,Unknown,Sweet Potato,3.46,"Lonsdale, Vancouver"
12020,Unknown,Sweet Onion,3.03,"Brewery Dist, Edmonton"
6316,Unknown,Sweet Onion,2.73,"Mclaughlin, Toronto"
2158,Unknown,Sweet Onion,3.03,"Lonsdale, Vancouver"
16401,Unknown,Sweet Onion,2.73,"Mcarthur, Ottawa"
5836,Unknown,Sweet Nantes Carrots,3.99,"Mclaughlin, Toronto"
13894,Unknown,Sweet Nantes Carrots,3.99,"Mcarthur, Ottawa"
3820,Unknown,Sweet Kale Salad Family Size,17.0,"Mclaughlin, Toronto"
244,Unknown,Sweet Kale Salad Family Size,17.0,"Lonsdale, Vancouver"
14036,Unknown,Sweet Kale Salad Family Size,17.0,"Mcarthur, Ottawa"
10733,Unknown,Sweet Kale,9.0,"Brewery Dist, Edmonton"
1310,Unknown,Sweet Kale,9.0,"Lonsdale, Vancouver"
29,Unknown,Sweet Green Peppers,3.08,"Lonsdale, Vancouver"
3729,Unknown,Sweet Green Peppers,2.46,"Mclaughlin, Toronto"
9444,Unknown,Sweet Green Peppers,3.08,"Brewery Dist, Edmonton"
13793,Unknown,Sweet Green Peppers,2.46,"Mcarthur, Ottawa"
15893,Unknown,Sweet Cauliflower Tender Stems,5.99,"Mcarthur, Ottawa"
15891,Unknown,Sweet Broccoli Tender Stems,5.99,"Mcarthur, Ottawa"
16927,Unknown,Sweet Baby Cauliflower,3.99,"Mcarthur, Ottawa"
6843,Unknown,Sweet Baby Cauliflower,3.99,"Mclaughlin, Toronto"
16361,Unknown,Suntech Tomato,1.76,"Mcarthur, Ottawa"
15094,Unknown,Strawberry Parfait,5.0,"Mcarthur, Ottawa"
1327,Unknown,Strawberry Parfait,5.0,"Lonsdale, Vancouver"
5029,Unknown,Strawberry Parfait,5.0,"Mclaughlin, Toronto"
10744,Unknown,Strawberry Parfait,5.0,"Brewery Dist, Edmonton"
10415,Unknown,Strawberries Small,6.0,"Brewery Dist, Edmonton"
9430,Unknown,Strawberries 2LB,9.99,"Brewery Dist, Edmonton"
14,Unknown,Strawberries 2LB,9.99,"Lonsdale, Vancouver"
13780,Unknown,Strawberries 2LB,8.99,"Mcarthur, Ottawa"
3715,Unknown,Strawberries 2LB,8.99,"Mclaughlin, Toronto"
9418,Unknown,Strawberries 1LB,6.49,"Brewery Dist, Edmonton"
1,Unknown,Strawberries 1LB,6.49,"Lonsdale, Vancouver"
14204,Unknown,"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6.0,"Mcarthur, Ottawa"
435,Unknown,"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6.0,"Lonsdale, Vancouver"
9854,Unknown,"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6.0,"Brewery Dist, Edmonton"
15069,Unknown,"Steak and Blue Cheese Salad, Large",13.0,"Mcarthur, Ottawa"
10395,Unknown,"Steak & Egg Salad, Family Size",19.0,"Brewery Dist, Edmonton"
9515,Unknown,Steak & Egg Salad,9.0,"Brewery Dist, Edmonton"
13908,Unknown,Steak & Blue Cheese Salad,9.0,"Mcarthur, Ottawa"
4668,Unknown,Star Fruit,2.99,"Mclaughlin, Toronto"
17496,Unknown,Star Fruit,2.99,"Mcarthur, Ottawa"
2614,Unknown,"Spinach, Bunched",2.99,"Lonsdale, Vancouver"
17482,Unknown,"Spinach, Bunched",3.49,"Mcarthur, Ottawa"
7406,Unknown,"Spinach, Bunched",3.49,"Mclaughlin, Toronto"
12546,Unknown,"Spinach, Bunched",2.99,"Brewery Dist, Edmonton"
8057,Unknown,Spanish Onion,1.81,"Mclaughlin, Toronto"
18133,Unknown,Spanish Onion,1.81,"Mcarthur, Ottawa"
5830,Unknown,Spaghetti Squash,8.3,"Mclaughlin, Toronto"
13893,Unknown,Spaghetti Squash,8.3,"Mcarthur, Ottawa"
9537,Unknown,Spaghetti Squash,8.3,"Brewery Dist, Edmonton"
143,Unknown,Spaghetti Squash,8.3,"Lonsdale, Vancouver"
2601,Unknown,Soy Sprouts,1.99,"Lonsdale, Vancouver"
14234,Unknown,Southwestern Iceberg Salad with Chicken,17.0,"Mcarthur, Ottawa"
3970,Unknown,"Southwestern Chicken Salad, Family Size",17.0,"Mclaughlin, Toronto"
136,Unknown,"Southwestern Chicken Salad, Family Size",17.0,"Lonsdale, Vancouver"
2154,Unknown,Sour Cabbage Head,11.74,"Lonsdale, Vancouver"
12010,Unknown,Sour Cabbage Head,11.74,"Brewery Dist, Edmonton"
15068,Unknown,"Sonata, Sweet Mini Peppers",3.99,"Mcarthur, Ottawa"
4687,Unknown,"Sonata, Sweet Mini Peppers",3.99,"Mclaughlin, Toronto"
2122,Unknown,Solo Papaya,7.99,"Lonsdale, Vancouver"
13134,Unknown,Solo Papaya,7.99,"Brewery Dist, Edmonton"
8699,Unknown,Snow Peas,4.99,"Mclaughlin, Toronto"
1725,Unknown,Snow Peas,5.99,"Lonsdale, Vancouver"
13151,Unknown,Snap Peas,5.99,"Brewery Dist, Edmonton"
8705,Unknown,Snap Peas,4.99,"Mclaughlin, Toronto"
18786,Unknown,Snap Peas,4.99,"Mcarthur, Ottawa"
3140,Unknown,Snap Peas,5.99,"Lonsdale, Vancouver"
14041,Unknown,Snack Platter Vegetables,6.0,"Mcarthur, Ottawa"
9693,Unknown,Snack Platter Vegetables,6.0,"Brewery Dist, Edmonton"
1684,Unknown,Snack Platter,8.0,"Lonsdale, Vancouver"
11141,Unknown,Snack Platter,8.0,"Brewery Dist, Edmonton"
15491,Unknown,Snack Platter,8.0,"Mcarthur, Ottawa"
476,Unknown,"Snack Cup, Veggies & Dip",6.0,"Lonsdale, Vancouver"
10095,Unknown,"Snack Cup, Veggies & Dip",6.0,"Brewery Dist, Edmonton"
14022,Unknown,Small Cubed Cantaloupe,6.0,"Mcarthur, Ottawa"
3809,Unknown,Small Cubed Cantaloupe,6.0,"Mclaughlin, Toronto"
135,Unknown,"Shrimp & Bacon Caesar Salad, Mini",5.0,"Lonsdale, Vancouver"
3811,Unknown,Shishito Peppers,4.99,"Mclaughlin, Toronto"
12053,Unknown,Shanghai Bok Choy Jr.,6.6,"Brewery Dist, Edmonton"
6861,Unknown,Shanghai Bok Choy Jr.,3.95,"Mclaughlin, Toronto"
2604,Unknown,Shanghai Bok Choy Jr.,6.6,"Lonsdale, Vancouver"
7438,Unknown,Shanghai Bok Choy,4.22,"Mclaughlin, Toronto"
18105,Unknown,Shanghai Bok Choy,4.22,"Mcarthur, Ottawa"
12572,Unknown,Shanghai Bok Choy,4.63,"Brewery Dist, Edmonton"
5042,Unknown,Shallots,5.99,"Mclaughlin, Toronto"
15108,Unknown,Shallots,5.99,"Mcarthur, Ottawa"
13864,Unknown,Seedless Watermelon Sliced,3.79,"Mcarthur, Ottawa"
3838,Unknown,Seedless Watermelon Halves,7.0,"Mclaughlin, Toronto"
13884,Unknown,Seedless Watermelon Halves,7.0,"Mcarthur, Ottawa"
1693,Unknown,Seedless Mandarins,0.82,"Lonsdale, Vancouver"
15456,Unknown,Seeded Watermelon Halves,7.99,"Mcarthur, Ottawa"
15494,Unknown,Seafood Vinaigrette Salad,4.58,"Mcarthur, Ottawa"
5813,Unknown,Seafood Vinaigrette Salad,4.58,"Mclaughlin, Toronto"
2602,Unknown,Savoy Cabbage,5.35,"Lonsdale, Vancouver"
6858,Unknown,Savoy Cabbage,4.28,"Mclaughlin, Toronto"
12051,Unknown,Savoy Cabbage,5.35,"Brewery Dist, Edmonton"
4412,Unknown,Rutabaga,4.52,"Mclaughlin, Toronto"
710,Unknown,Rutabaga,6.28,"Lonsdale, Vancouver"
14446,Unknown,Russet Potato,2.36,"Mcarthur, Ottawa"
467,Unknown,Russet Potato,2.36,"Lonsdale, Vancouver"
4383,Unknown,Russet Potato,2.36,"Mclaughlin, Toronto"
9892,Unknown,Russet Potato,2.36,"Brewery Dist, Edmonton"
13797,Unknown,Royal Gala Apples,1.15,"Mcarthur, Ottawa"
3733,Unknown,Royal Gala Apples,1.15,"Mclaughlin, Toronto"
32,Unknown,Royal Gala Apples,1.38,"Lonsdale, Vancouver"
9447,Unknown,Royal Gala Apples,1.38,"Brewery Dist, Edmonton"
10106,Unknown,"Root Harvest Mix (cubed Parsnip, Carrots, Butternut Squash, Yams, Red Onions, Celery)",7.0,"Brewery Dist, Edmonton"
15065,Unknown,"Root Harvest Mix (cubed Parsnip, Carrots, Butternut Squash, Yams, Red Onions, Celery)",7.0,"Mcarthur, Ottawa"
10097,Unknown,Romaine Salad Family Size,15.0,"Brewery Dist, Edmonton"
14466,Unknown,Romaine Salad Family Size,15.0,"Mcarthur, Ottawa"
4399,Unknown,Romaine Salad Family Size,15.0,"Mclaughlin, Toronto"
277,Unknown,Romaine Salad Family Size,15.0,"Lonsdale, Vancouver"
3147,Unknown,Romaine Lettuce,3.99,"Lonsdale, Vancouver"
18793,Unknown,Romaine Lettuce,3.49,"Mcarthur, Ottawa"
8715,Unknown,Romaine Lettuce,3.49,"Mclaughlin, Toronto"
13158,Unknown,Romaine Lettuce,3.99,"Brewery Dist, Edmonton"
6836,Unknown,Romaine Hearts,9.99,"Mclaughlin, Toronto"
12038,Unknown,Romaine Hearts,9.99,"Brewery Dist, Edmonton"
9424,Unknown,"Romaine Heart, 3 Pack",3.99,"Brewery Dist, Edmonton"
3708,Unknown,"Romaine Heart, 3 Pack",2.99,"Mclaughlin, Toronto"
8,Unknown,"Romaine Heart, 3 Pack",3.99,"Lonsdale, Vancouver"
13794,Unknown,Roma Tomatoes,0.66,"Mcarthur, Ottawa"
30,Unknown,Roma Tomatoes,0.79,"Lonsdale, Vancouver"
9445,Unknown,Roma Tomatoes,0.79,"Brewery Dist, Edmonton"
3730,Unknown,Roma Tomatoes,0.66,"Mclaughlin, Toronto"
14052,Unknown,Roasted Corn & Pepper Quinoa,9.62,"Mcarthur, Ottawa"
3985,Unknown,Roasted Corn & Pepper Quinoa,9.62,"Mclaughlin, Toronto"
13738,Unknown,Rhubarb,5.99,"Brewery Dist, Edmonton"
6305,Unknown,Rhubarb,6.99,"Mclaughlin, Toronto"
3142,Unknown,Rhubarb,5.99,"Lonsdale, Vancouver"
16392,Unknown,Rhubarb,6.99,"Mcarthur, Ottawa"
16932,Unknown,Red Swiss Chard,3.99,"Mcarthur, Ottawa"
6852,Unknown,Red Swiss Chard,3.99,"Mclaughlin, Toronto"
12042,Unknown,Red Swiss Chard,4.99,"Brewery Dist, Edmonton"
3,Unknown,Red Seedless Watermelon,8.99,"Lonsdale, Vancouver"
9419,Unknown,Red Seedless Watermelon,8.99,"Brewery Dist, Edmonton"
13769,Unknown,Red Seedless Watermelon,7.99,"Mcarthur, Ottawa"
3703,Unknown,Red Seedless Watermelon,7.99,"Mclaughlin, Toronto"
9518,Unknown,Red Seedless Grapes,13.08,"Brewery Dist, Edmonton"
4155,Unknown,Red Seeded Watermelon,12.99,"Mclaughlin, Toronto"
14218,Unknown,Red Seeded Watermelon,12.99,"Mcarthur, Ottawa"
15105,Unknown,Red Prince Apple,9.99,"Mcarthur, Ottawa"
5039,Unknown,Red Prince Apple,9.99,"Mclaughlin, Toronto"
9413,Unknown,Red Potatoes,1.43,"Mclaughlin, Toronto"
3700,Unknown,Red Potatoes,1.43,"Lonsdale, Vancouver"
19491,Unknown,Red Potatoes,1.43,"Mcarthur, Ottawa"
13762,Unknown,Red Potatoes,1.43,"Brewery Dist, Edmonton"
3716,Unknown,Red Peppers,2.11,"Mclaughlin, Toronto"
13781,Unknown,Red Peppers,2.11,"Mcarthur, Ottawa"
9431,Unknown,Red Peppers,2.64,"Brewery Dist, Edmonton"
15,Unknown,Red Peppers,2.64,"Lonsdale, Vancouver"
17,Unknown,Red Onion,2.44,"Lonsdale, Vancouver"
3718,Unknown,Red Onion,2.19,"Mclaughlin, Toronto"
13783,Unknown,Red Onion,2.19,"Mcarthur, Ottawa"
9433,Unknown,Red Onion,2.44,"Brewery Dist, Edmonton"
2621,Unknown,Red Leaf Lettuce,3.99,"Lonsdale, Vancouver"
12571,Unknown,Red Leaf Lettuce,3.99,"Brewery Dist, Edmonton"
13909,Unknown,Red Grapefruit,2.99,"Mcarthur, Ottawa"
9543,Unknown,Red Grapefruit,2.99,"Brewery Dist, Edmonton"
128,Unknown,Red Delicious Apples,1.38,"Lonsdale, Vancouver"
13888,Unknown,Red Delicious Apples,1.38,"Mcarthur, Ottawa"
9531,Unknown,Red Delicious Apples,1.38,"Brewery Dist, Edmonton"
5,Unknown,Red Cherries,13.71,"Lonsdale, Vancouver"
13771,Unknown,Red Cherries,7.83,"Mcarthur, Ottawa"
9421,Unknown,Red Cherries,13.71,"Brewery Dist, Edmonton"
3705,Unknown,Red Cherries,7.83,"Mclaughlin, Toronto"
19492,Unknown,Red Cabbage,4.96,"Mcarthur, Ottawa"
3152,Unknown,Red Cabbage,5.84,"Lonsdale, Vancouver"
13766,Unknown,Red Cabbage,5.84,"Brewery Dist, Edmonton"
9414,Unknown,Red Cabbage,4.96,"Mclaughlin, Toronto"
6853,Unknown,"Red Beets, Bunched",4.99,"Mclaughlin, Toronto"
12043,Unknown,"Red Beets, Bunched",4.99,"Brewery Dist, Edmonton"
16933,Unknown,"Red Beets, Bunched",4.99,"Mcarthur, Ottawa"
14482,Unknown,Red Beets,4.99,"Mcarthur, Ottawa"
4378,Unknown,Red Beets,1.04,"Mclaughlin, Toronto"
462,Unknown,Red Beets,1.04,"Lonsdale, Vancouver"
14439,Unknown,Red Beets,1.04,"Mcarthur, Ottawa"
9886,Unknown,Red Beets,1.04,"Brewery Dist, Edmonton"
15075,Unknown,"Red Bananas, Bunch",3.74,"Mcarthur, Ottawa"
4690,Unknown,"Red Bananas, Bunch",3.74,"Mclaughlin, Toronto"
14031,Unknown,Red Anjou Pears,1.54,"Mcarthur, Ottawa"
3804,Unknown,Red Anjou Pears,1.54,"Mclaughlin, Toronto"
14241,Unknown,Raspberry Pint,7.99,"Mcarthur, Ottawa"
9884,Unknown,Raspberry Pint,8.99,"Brewery Dist, Edmonton"
4178,Unknown,Raspberry Pint,7.99,"Mclaughlin, Toronto"
10418,Unknown,Raspberry Banana Parfait,5.0,"Brewery Dist, Edmonton"
1000,Unknown,Raspberry Banana Parfait,5.0,"Lonsdale, Vancouver"
14773,Unknown,Raspberry Banana Parfait,5.0,"Mcarthur, Ottawa"
9438,Unknown,Raspberries 1/2 pint,5.49,"Brewery Dist, Edmonton"
22,Unknown,Raspberries 1/2 pint,5.49,"Lonsdale, Vancouver"
17469,Unknown,Rapini,3.99,"Mcarthur, Ottawa"
2596,Unknown,Rapini,4.99,"Lonsdale, Vancouver"
6862,Unknown,Rapini,3.99,"Mclaughlin, Toronto"
