product brand,product name,ottowa_price,brand id
Unknown,"Bananas, Bunch",1.75,1
Unknown,English Cucumber,1.29,1
Unknown,Red Seedless Watermelon,7.99,1
Unknown,Green Onion,1.49,1
Unknown,Red Cherries,7.83,1
Unknown,Asparagus,5.19,1
Unknown,Tomato On The Vine Red (1 Bunch),2.33,1
Unknown,Tomato Beefsteak Red,1.47,1
Unknown,Lettuce Iceberg,3.99,1
Unknown,Avocados Bag,5.99,1
Farmer's Market,English Cucumber 3Ct,3.49,2
Unknown,Lemon,0.99,1
Farmer's Market,Yellow Onions,2.99,2
Unknown,Strawberries 2LB,8.99,1
Unknown,Red Peppers,2.11,1
Unknown,Celery Stalks,4.99,1
Unknown,Red Onion,2.19,1
Unknown,Zucchini,1.66,1
Unknown,Limes,0.99,1
Unknown,Green Seedless Grapes,13.47,1
Unknown,Cauliflower,4.99,1
Unknown,Cilantro,2.69,1
PC Organics,"Organic Bananas, Bunch",2.88,3
Farmer's Market,Grape Tomatoes,3.99,2
Unknown,Bartlett Pears,1.38,1
Unknown,Blueberries 1 pint,5.99,1
Unknown,Sweet Green Peppers,2.46,1
Unknown,Roma Tomatoes,0.66,1
Unknown,Broccoli Crowns,3.34,1
Farmer's Market,Carrots,3.99,2
Unknown,Royal Gala Apples,1.15,1
Farmer's Market,Corn On The Cob,4.99,2
Unknown,Mango,2.99,1
Unknown,Broccoli,3.99,1
Unknown,Ginger,1.85,1
Farmer's Market,Mini Cucumbers,4.99,2
Farmer's Market,Russet Potatoes,5.99,2
Unknown,Cantaloupe,5.99,1
President's Choice,Ontario Greenhouse-Grown Strawberries,5.99,4
Rooster,"Garlic Bulbs, 3-count",1.29,5
Unknown,Sweet Potato,2.49,1
Farmer's Market,Empire Apples,5.99,2
Unknown,Parsnip,1.92,1
PC Organics,Organic Garlic,3.99,3
Manns,Snap Peas,5.99,6
President's Choice,Blackberries,4.99,4
Unknown,Dried Porcini Mushrooms,5.99,1
Unknown,"Fresh Cut Fruit Salad, Small",7.0,1
Unknown,Seedless Watermelon Sliced,3.79,1
President's Choice,Baby Spinach And Tender Red Lettuce,4.99,4
President's Choice,Honey Roasted Pistachios,7.99,4
Greenhouse,Plant-Based Collagen Booster Glow,3.99,30
Paramount,No shell BBQ Pistachios,8.99,7
Unknown,"Fresh Thyme, 4"" Pot",4.99,1
PC Organics,Gala Apples,1.94,3
Unknown,Greek Salad Family Size,17.0,1
Unknown,Large House Salad,12.0,1
Unknown,Turmeric,4.32,1
Unknown,Black Figs,1.29,1
Unknown,Large House Cheddar Salad,12.0,1
Farmer's Market,Ambrosia Apples,8.99,2
No Name,Naturally Imperfect Lemons 3lb Bag,5.99,9
President's Choice,"Live Lettuce Red/Green, 2-pack",5.99,4
Unknown,Seedless Watermelon Halves,7.0,1
PC Organics,Organic Lime,6.99,3
President's Choice,Creamy Golden Potatoes,3.99,4
Earthbound Farms Organic,Asian Salad,7.49,10
Unknown,Red Delicious Apples,1.38,1
Unknown,Chicken BLT Salad Mini,5.0,1
Unknown,"Fresh Apple, Blueberry, Cranberry, Mint Juice",13.0,1
GoodLeaf,Micro Broccoli,4.79,31
Unknown,Spaghetti Squash,8.3,1
Unknown,Sweet Nantes Carrots,3.99,1
PC Organics,Organic Granny Smith Apples,1.67,3
Unknown,Bombay Chicken Salad,6.18,1
Manns,Snow Peas,5.99,6
President's Choice,Southwest Salad Kit,6.99,4
Farmer's Market,McIntosh Apples,5.99,2
President's Choice,Finger Hot Hot Peppers,4.99,4
President's Choice,Caesar Salad Kit,5.99,4
President's Choice,Poppyseed Pouch 44Ml,0.59,4
Unknown,Watermelon Quarters,6.28,1
Wholly Guacamole,Chunky Bowl,5.99,27
Unknown,Orange Wedges Small,5.0,1
Unknown,White Yams,6.05,1
Unknown,Curly Parsley,2.69,1
Unknown,Steak & Blue Cheese Salad,9.0,1
Unknown,Red Grapefruit,2.99,1
Unknown,Passion Fruit,1.99,1
Unknown,Pomegranate,3.99,1
Unknown,Hibiscus & Rose Hip Infused Lemonade ,6.0,1
Unknown,Honeydew Melon Halves,6.0,1
No Name,Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,7.99,9
Aurora,Sundried Tomatoes,2.99,17
Unknown,"Fresh Apple, Lemon, Ginger, Turmeric Juice",13.0,1
PC Organics,Organics Whole Oyster Mushrooms,3.99,3
President's Choice,Chives,2.99,4
President's Choice,Poblano Hot Peppers,4.99,4
President's Choice,Yellow Potatoes,6.99,4
President's Choice,Baby Spinach,6.49,4
Greenhouse,Fiery Ginger Juice,14.99,30
Unknown,Tamarinds,5.99,1
Unknown,Jicama,3.99,1
PC Organics,Organic Black Oyster Whole Mushrooms,3.99,3
Unknown,Small Cubed Cantaloupe,6.0,1
Taylor Farms,"Chopped Salad Kit, Thai Style Chili Mango",6.99,15
Unknown,Cobb Salad with Cheddar Chips,9.0,1
Taylor Farms,"Chopped Salad Kit, Maple Bourbon Bacon",6.99,15
President's Choice,Green Beans,5.99,4
Unknown,"Morel Mushrooms, Dried",12.99,1
PC Organics,Organic Lemons,6.99,3
Unknown,Premium Chicken BLT,9.0,1
Unknown,Fresh Orange Juice,6.0,1
Unknown,Red Anjou Pears,1.54,1
Unknown,Nectarines,2.16,1
Greenhouse,"Raw, Organic Juice Gatsby",7.99,30
President's Choice,Dill,2.99,4
President's Choice,Oregano,2.99,4
Unknown,Sweet Kale Salad Family Size,17.0,1
Unknown,Turkish Pearl Couscous Salad,5.61,1
Unknown,"Mushroom Kebab, 2 pack",6.0,1
PC Organics,Organic Red Potatoes,7.99,3
Greenhouse,Organic Dairy Free Shake Rococoa,7.99,30
Unknown,Snack Platter Vegetables,6.0,1
Unknown,Mini Garden Cheddar Salad,5.0,1
President's Choice,Sea Salt Pistachios,7.99,4
PC Organics,Organics Whole Cremini Mushrooms,3.69,3
Unknown,Original Greek Acropolis Salad,5.73,1
Unknown,Physalis (Gooseberries),4.99,1
PC Organics,Organic Broccoli Florets,6.99,3
Taylor Farms,"Chopped Salad Kit, Dill Pickle",6.99,15
Unknown,Long Eggplants (1Pack),12.76,1
Renees,Dressing And Dip Caesar Light,0.59,22
Unknown,Greek Yogurt Parfait,5.0,1
Unknown,Roasted Corn & Pepper Quinoa,9.62,1
Unknown,Premium Garden Veg Romaine,9.0,1
Tiffany Gates,Mexican Street Corn Salad,5.7,11
President's Choice,Live Lettuce Boston,3.49,4
Unknown,Baby Eggplants (1 pack),2.77,1
Unknown,Pineapple Cubed Small,6.0,1
GoodLeaf,Spicy Mustard Medley,4.79,31
Unknown,Fresh Green Spinach Mango Smoothie,5.99,1
Unknown,"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6.0,1
PC Organics,Organics Baby Spinach,6.99,3
PC Organics,Organic Peppers Mini 227G,6.99,3
President's Choice,Fingerling Potatoes,4.99,4
Marzetti,Chocolate Dip Original,1.5,19
Unknown,Large Caesar Salad,12.0,1
PC Organics,Organic King Oyster Sliced Mushrooms,5.99,3
Unknown,Lebanese Tabbouleh Salad,8.47,1
Tiffany Gates,"Cauliflower, Kale & Cranberry Salad",2.29,11
Unknown,Pineapple Cubed Large,10.0,1
Unknown,Cubanelle Peppers,1.87,1
Unknown,Garden Salad Mini,5.0,1
Unknown,Pink Lady Apples,1.61,1
Greenhouse,Pick-Me-Up For Energy Multipack,14.99,30
Unknown,Red Seeded Watermelon,12.99,1
Unknown,Cactus Pears 12X4ct,3.99,1
President's Choice,Fresh Poultry Herb Blend,2.99,4
Unknown,Cold Pressed Lemonade,6.0,1
Unknown,Premium Large Vetable Platter (Minimum 24 Hours Notice Required),40.0,1
President's Choice,Coleslaw,3.49,4
Unknown,Large Mexican Style Beef Taco Salad,13.0,1
Unknown,Blueberry Parfait,5.0,1
Greenhouse,Organic Booster Inside Job,3.99,30
Unknown,Premium Sweet Kale Power Salad,9.0,1
Dole,Sunflower Bacon Crunch Chopped Salad Kit,6.99,18
Unknown,Deluxe Bean Salad,5.5,1
PC Organics,Sliced and Whole Bistro Blend Mushrooms,6.99,3
Unknown,Genuine Coconut Organic Coconut Topping,6.99,1
Unknown,Southwestern Iceberg Salad with Chicken,17.0,1
Unknown,Golden Figs,5.99,1
No Name,"Raw, Unsalted Pumpkin Seeds",2.29,9
Unknown,Honey Pitted Dates,4.99,1
Unknown,Honeydew Cubed Small,6.0,1
Fresh Attitude,Caesar Salad with Toppings Single Sized,5.99,20
PC Organics,"Avocados, Bag",6.99,3
Unknown,Raspberry Pint,7.99,1
Unknown,Organic Grape Tomatoes,9.99,1
Loop,Early Bird Smoothie,8.99,32
President's Choice,Broccoli Florets,4.99,4
Unknown,Flavour Burst Sungold Golden Kiwi,7.99,1
Greenhouse,Organic Booster Lullaby,3.99,30
Unknown,Red Beets,1.04,1
Farmer's Market,Grape Tomato 907G,6.99,2
PC Organics,Organics Multicolour Carrots,5.99,3
Marzetti,Marzetti Chocolate Dip 250g,5.99,19
Unknown,Premium Greek Classic,9.0,1
Taylor Farms,Everything Ranch Salad Kit,6.99,15
Unknown,Basil,4.99,1
Unknown,Russet Potato,2.36,1
Unknown,Pumpernickel Snack,6.0,1
PC Organics,Organics Yellow Onions,4.99,3
PC Organics,Arugula & Baby Spinach Salad Mix,4.99,3
Greenhouse,Organic Shake Vanilla Almond Brekky,7.99,30
Greenhouse,Ginger Tumeric Kombucha,4.99,30
Unknown,Gold Cored Pineapple,6.99,1
Unknown,"Mucci, Sundrops Tomato",3.99,1
Renees,"Sweet Onion Vinaigrette, Pouch",0.59,22
Unknown,"Fresh Mint, 4"" Pot",4.99,1
Unknown,Guava,7.71,1
Love Beets,Cooked Beets,4.99,16
President's Choice,Yellow Mini Potatoes,4.99,4
Unknown,"Fresh Guacamole, Small",3.99,1
President's Choice,Apple Cider Vin Pouch 45 Ml,0.59,4
Unknown,Mini Medjools Sweet & Salty Almond,7.99,1
PC Blue Menu,Unsalted California Pistachios,10.99,21
Unknown,Cello Spinach,4.99,1
Unknown,Honeycrisp Apples,1.32,1
Unknown,Romaine Salad Family Size,15.0,1
President's Choice,Sweet Baby Lettuce,4.99,4
Unknown,Cauliflower Florets,6.0,1
President's Choice,Spring Mix,4.99,4
PC Organics,Organic Mini Carrots 1lb Bag,3.99,3
Unknown,Carrots & Cucumber,6.0,1
Unknown,Kiwi Fruit,6.99,1
Greenhouse,Cranberry Kombucha,4.99,30
President's Choice,50-50 Blend - A Blend of Baby Spinach and Field Greens,6.49,4
Unknown,"Fresh Rosemary, 4"" Pot",4.99,1
President's Choice,Bay Leaf,2.99,4
PC Organics,Organic Yellow Potatoes,7.99,3
Unknown,Fuji Apples,1.58,1
Farmer's Market,Mixed Peppers (6 Pack),7.99,2
Unknown,Organic Raspberries 1/2 pint,5.99,1
Taylor Farms,Guacamole Crunch Chopped Salad Kit,6.99,15
Unknown,Yellow Asian Pears,2.46,1
President's Choice,"Ready Veggie, Kale Blend",5.99,4
Unknown,Butternut Squash,12.38,1
GoodLeaf,Micro Arugula,4.79,31
Unknown,Blackberries 1 pint,8.99,1
Unknown,Mini Mexican Beef Taco Salad,5.0,1
Greenhouse,Organic Booster Farma-C+,14.99,30
Unknown,Tomatoes,6.99,1
PC Organics,Granny Smith Apples 3Lb Bag,11.99,3
Bolthouse,"Juice, 100% Pomegranate",9.99,12
Unknown,Cauliflower And Broccoli,6.0,1
Unknown,Mixed Melon Cubed Large,10.0,1
Unknown,"Taro Root, Medium",16.46,1
Unknown,White Flesh Nectarine,1.85,1
Unknown,Lunch Size Veg and Dip 600G,8.0,1
No Name,Roasted Peanuts In Shell,11.99,9
President's Choice,Mixiany Cherry Tomatoes,5.99,4
Unknown,Chicken Caesar Salad Family Size,17.0,1
Unknown,Chicken Caesar Salad Mini,5.0,1
POM Wonderful,100% Pomegranate Juice,6.99,13
Unknown,Caesar Salad Mini,5.0,1
Paramount,Pistachios No Shells Roasted Light Salt,8.99,7
Unknown,Sweet Potato Crinkle Fries,7.0,1
PC Organics,Organic Field Greens & Baby Spinach - Salad Mix,6.99,3
Unknown,Yellow Dragon Fruit,5.99,1
Eat Smart,Sweet Kale Salad Kit,5.99,26
PC Organics,Gala Apples 3Lb Bag,9.99,3
Tiffany Gates,Potato Salad New Orleans,2.29,11
Unknown,Yellow Yams,6.05,1
Greenhouse,"Raw, Organic Juice the Good",7.99,30
Unknown,Raspberry Banana Parfait,5.0,1
PC Organics,Nectarine,8.99,3
Unknown,Large Greek Salad,12.0,1
Unknown,Large Chicken Caesar Salad,12.0,1
Unknown,"Root Harvest Mix (cubed Parsnip, Carrots, Butternut Squash, Yams, Red Onions, Celery)",7.0,1
Unknown,Granadilla,2.49,1
President's Choice,Cocktail Tomatoes,4.99,4
Unknown,"Sonata, Sweet Mini Peppers",3.99,1
Unknown,"Steak and Blue Cheese Salad, Large",13.0,1
President's Choice,Mixed Greens,4.49,4
Unknown,Grilled Chicken Caesar Salad,2.29,1
Farmer's Market,Spartan Apples,7.99,2
Unknown,Halo Mandarin,9.99,1
Earthbound Farms Organic,Chop Honey Citrus Salad,7.49,10
Unknown,"Red Bananas, Bunch",3.74,1
PC Organics,"Mushroom White, Sliced",3.69,3
Unknown,Large Organic Pineapple,5.99,1
Unknown,Premium Baby Spinach With Chicken,9.0,1
President's Choice,Romaine Salad,4.49,4
Unknown,Garden Spring Mix Salad,9.0,1
Unknown,White Peaches,2.31,1
Bolthouse,Berry Boost,6.99,12
Unknown,Bard Valley Natural Delights Pitted Medjool Dates,9.99,1
President's Choice,Red Thai Hot Peppers,4.99,4
President's Choice,Loads Of Garlic Caesar Salad Kit,6.99,4
President's Choice,Rosemary,2.99,4
Unknown,Mini Seedless Watermelon,5.99,1
President's Choice,Thyme,2.99,4
Unknown,Jalapeno Peppers,0.55,1
Wholly Guacamole,Classic Bowl,5.99,27
Unknown,Strawberry Parfait,5.0,1
Unknown,Large Steak & Egg Salad,13.0,1
Unknown,Baby Peeled Carrots,5.99,1
Dole,Chop Chop Kit Teriyaki Pineapple,6.99,18
Unknown,Cobb with Cheddar Salad Mini,5.0,1
Unknown,Caribbean Avocado,3.99,1
Unknown,Apple Cosmic Crisp,2.11,1
President's Choice,Balsamic Vinaigrette Pouch,0.59,4
PC Organics,Organics Portobello Mushroom Caps,5.99,3
President's Choice,Blood Oranges,7.99,4
Unknown,Red Prince Apple,9.99,1
President's Choice,Salted California Pistachios,5.99,4
Unknown,Apricots,0.92,1
Unknown,Shallots,5.99,1
PC Organics,Organics Whole Button Cremini Mushrooms,3.99,3
Eat Smart,Honey Dijon Kale,6.49,26
Unknown,Forelle Pears,1.21,1
PC Organics,Organic Cremini Mushrooms,8.99,3
Greenhouse,"Raw, Organic Juice Deep Roots",7.99,30
Farmer's Market,Carrot Chips,2.99,2
Unknown,White Potatoes,2.37,1
Unknown,Butternut Squash Crinkle Fries,7.0,1
President's Choice,Ruby Little Gems Potatoes,4.99,4
Paramount,Pistachios No Shells Honey Roasted,8.99,7
Unknown,Seeded Watermelon Halves,7.99,1
Bolthouse,Amazing Mango,6.99,12
Greenhouse,Ultraviolet Organic Kombucha,9.99,30
Unknown,Eddoes,1.32,1
Unknown,Brussel Sprouts with Red Onions,7.0,1
Unknown,Turnips,2.92,1
Unknown,Fruit Salad Large,10.0,1
PC Organics,Organic Button White Mushrooms,3.99,3
Unknown,Cassava,3.73,1
No Name,"Raw, Unsalted Sunflower Seeds",2.29,9
President's Choice,Mint,2.99,4
Greenhouse,Fiery Ginger,3.99,30
Unknown,"Fresh Apple, Carrot, Beet, Lemon Juice",7.0,1
Unknown,Cherry Tomatoes,5.99,1
Greenhouse,Lime Herbal Kombucha,4.99,30
Unknown,Vero Tomato,6.99,1
Unknown,Caesar Salad Family Size,17.0,1
Unknown,Genuine Coconut Organic Coconut Chunks,5.99,1
Tiffany Gates,Classic Coleslaw,2.29,11
Unknown,Car Cara Orange,6.49,1
Unknown,Snack Platter,8.0,1
PC Organics,Organics Sliced Cremini Mushrooms,3.69,3
Unknown,Seafood Vinaigrette Salad,4.58,1
Unknown,Abate Fetel Pears,1.58,1
Unknown,Mini Medjools Organic Cranberry Pistachio,9.99,1
President's Choice,Creamy Greek Pouch 44Ml,0.59,4
PC Organics,Organic Enoki Mushrooms,4.49,3
PC Organics,Organic Sweet Potatoes 3lb Bag,6.99,3
Unknown,Greenbelt Organic Super Crunch,5.99,1
Unknown,Cantaloupe Slices,6.0,1
Unknown,Bok Choy,2.98,1
President's Choice,Sage,2.99,4
Unknown,Premium Garden Vegetable With Cheese,9.0,1
Unknown,Sweet Broccoli Tender Stems,5.99,1
Unknown,Veggie Tripack,14.0,1
Unknown,Sweet Cauliflower Tender Stems,5.99,1
Greenhouse,Probiotic Hydrator Blue Lemonade,4.99,30
President's Choice,Yellow Hot Hot Peppers,4.99,4
President's Choice,Green Thai Hot Peppers,4.99,4
Unknown,Watermelon Cubed Large,10.0,1
President's Choice,Pencil Hot Hot Peppers,4.99,4
PC Organics,Organics Field Greens Salad Mix,4.99,3
PC Organics,Organic Green Beans,6.99,3
Unknown,Blueberries 1/2 pint,3.99,1
Unknown,Garden Vegetable Spring Mix,9.0,1
Farmer's Market,Mandarin Oranges,4.99,2
President's Choice,Ranch Pouch 44Ml,0.59,4
Unknown,Suntech Tomato,1.76,1
Unknown,Greenbelt Organic Arugula,5.99,1
Unknown,Avocado,2.99,1
The Little Potato Company,"Fresh Creamer Potatoes Roasted Garlic, Rosemary & Thyme",4.99,24
Bolthouse,Berry Boost Juice,4.99,12
Renees,Dill Refrigerated Dip,5.99,22
Unknown,Honeydew Melon,7.99,1
POM Wonderful,Super Tea Pomegranate Peach Passion White Tea,11.99,13
Renees,French Onion Refrigerated Dip,5.99,22
Farmer's Market,Red Potatoes 10lb Bag,6.99,2
Wholly Guacamole,Minis,6.99,27
Bolthouse,Strawberry Banana,4.99,12
Bolthouse,Ginger Carrot Turmeric,9.99,12
The Little Potato Company,Fresh Creamer Potatoes Smoked Salt,4.99,24
Litehouse,Dip Organic Ranch,5.49,34
President's Choice,Chopped Mexican Style Street Corn Salad Kit,6.99,4
The Little Potato Company,Microwave Ready Garlic Parsley Potatoes,4.99,24
No Name,Imperfect Apples,7.99,9
Remedy,Organic Mango Passionfruit Kombucha,5.99,23
Unknown,"Greenhouse Peppers, Yellow",2.2,1
Unknown,Yellow Onion,1.54,1
Unknown,Colossal Garlic,1.76,1
Unknown,Radicchio Lettuce,3.41,1
Love Beets,Organic Cooked Beets,4.99,16
President's Choice,Savory,2.99,4
Unknown,"Lemon Grass, 2 Pack",2.99,1
Marzetti,"Veggie Dip, Spinach",5.99,19
Unknown,Endive,5.99,1
PC Organics,Organic Thyme,2.99,3
Unknown,Italian Eggplants,1.58,1
Unknown,Broccolini,3.99,1
Unknown,Rhubarb,6.99,1
PC Organics,Organic Green Onions,2.29,3
PC Organics,Organic Cauliflower,6.99,3
Gourmet Garden,Paste Cilantro,5.99,29
Gourmet Garden,Paste Lemongrass,5.99,29
Unknown,Dandelion Greens,4.99,1
Fresh Attitude,Spring Mix Salad with Toppings Single Sized,5.99,20
Unknown,Ataulfo Mango,1.99,1
Unknown,Sweet Onion,2.73,1
Farmer's Market,Mini Carrots,4.99,2
Unknown,Kale,3.99,1
Unknown,Leeks,5.99,1
Unknown,Pearl Onion,2.99,1
Unknown,Chick Pea/Artichoke/Sundried Tomato Salad,7.79,1
President's Choice,"Live Lettuce Trio, 2-pack",5.99,4
Unknown,Organic Strawberries 1 LB,6.99,1
Tiffany Gates,Tiffany Gate Feta Fiesta Kale Salad,2.29,11
Unknown,Mixed Dried Mushrooms,5.99,1
Loop,Morning Glory Juice,8.99,32
GoodLeaf,Ontario Baby Spinach,5.99,31
Marzetti,Caramel Dip Snack,6.49,19
Unknown,"Mini Bananas, Bunch",2.17,1
GoodLeaf,Ontario Spring Mix,5.99,31
Unknown,Navel Orange,2.31,1
President's Choice,Seedless Lemons,5.99,4
Unknown,Lavender & Elderflower Infused Lemonade,6.0,1
No Name,"Roasted Peanuts, No Salt",6.99,9
Bolthouse,Mocha Cappuccino,6.99,12
PC Organics,Organic Carrots,4.69,3
PC Organics,Organic Peppers,6.99,3
Renees,Sweet Chili Refrigerated Dip,5.99,22
Unknown,Pineapple,5.49,1
Unknown,"Greenhouse Peppers, Orange",2.11,1
Renees,Ranch Refrigerated Dip,5.99,22
Farmer's Market,Navel Oranges,7.99,2
Remedy,Org Kom Rasp Lemn 700Ml,5.99,23
Tiffany Gates,Tiffany Gate Italian Gemelli Salad,2.29,11
Remedy,Kombucha Ginger Lemon,5.99,23
The Little Potato Company,Microwave Ready Lemon and Garden Herb Potatoes,4.99,24
Bolthouse,Daily Greens,6.99,12
Bolthouse,Vanilla Chai Tea,6.99,12
Loop,Cold-Pressed Juice Magic Sip,8.99,32
Well,Cold Pressed Juice Be Well,5.99,8
PC Organics,Romaine Lettuce Hearts,6.99,3
President's Choice,Arugula,4.99,4
No Name,Naturally Imperfect Avocados,9.99,9
Unknown,Organic Curly Parsley,3.99,1
Unknown,Lettuce Little Gem,5.99,1
COVE,Organic Pink Grapefruit Smoothie,3.99,36
Unknown,Blood Orange Tarocco,2.89,1
Farmer's Market,Peaches,8.99,2
Unknown,Sweet Baby Cauliflower,3.99,1
President's Choice,Chipotle Chop Salad Kit,6.99,4
Marzetti,"Veggie Dip, Light Ranch",5.99,19
Unknown,Brussels Sprouts,0.3,1
PC Organics,Organic Mint,2.99,3
Unknown,Red Swiss Chard,3.99,1
Unknown,"Red Beets, Bunched",4.99,1
Unknown,Fresh Coconut Young,4.99,1
President's Choice,Avocado Ranch Chopped Salad Kit,6.99,4
Unknown,Organic Fennel,6.99,1
Unknown,Rapini,3.99,1
Unknown,Organic Black Kale,4.99,1
Unknown,Green Leaf Lettuce,3.99,1
Gourmet Garden,Paste Ginger,5.99,29
PC Organics,Organics Whole Shitake Mushrooms,4.99,3
Unknown,Papaya,5.71,1
Unknown,Buttercup Squash,10.06,1
Unknown,White Onion,2.19,1
Unknown,Acorn Squash,5.54,1
Unknown,"Spinach, Bunched",3.49,1
Unknown,Organic Blackberries,5.99,1
PC Organics,Blueberries,4.99,3
Unknown,"Chanterelle Mushrooms, Dried",5.99,1
Dole,Chop Chop Kit Everything Caesar,6.99,18
Unknown,Tomato Sugar Bomb,6.99,1
Greenhouse,Inside Job,14.99,30
Taylor Farms,"Chopped Salad Kit, Buffalo Ranch",6.99,15
GoodLeaf,Pea Shoots,4.79,31
Unknown,Vegetable Platter Large,21.0,1
Bolthouse,Green Goodness,4.99,12
Paramount,"Wonderful Pistachios, Roasted & Salted",6.49,7
Unknown,Star Fruit,2.99,1
Unknown,Chicken Salad,2.29,1
Greenhouse,Lime Lemongrass Organic Kombucha,9.99,30
Greenhouse,Collagen Booster Glow Multipack,14.99,30
Unknown,Pineapple/Straws Large,10.0,1
President's Choice,Vegetable Medley,5.49,4
Greenhouse,Ginger Turmeric Organic Kombucha,9.99,30
Unknown,Homestyle Coleslaw with Yogurt Dressing,2.29,1
President's Choice,"Live Lettuce Green, 2-pack",5.99,4
Marzetti,Spinach Veggie Dip,1.29,19
Bolthouse,C-Boost,6.99,12
Well,Cold Pressed Juice Greens,5.99,8
Loop,"Smoothie, Green Vibes",8.99,32
Remedy,Kombucha Wild Berry,5.99,23
Well,Ink. Lemonade Charcoal,5.99,8
Remedy,Kombucha Lemon Lime & Mint,5.99,23
Unknown,Coconuts,2.49,1
Well,Cold Pressed Juice Played,5.99,8
PC Organics,Celery Hearts,6.99,3
Unknown,Organic Rainbow Swiss Chard,4.99,1
Unknown,Green Garlic,5.99,1
Unknown,Bean Runner,4.99,1
President's Choice,Kale Slaw,4.49,4
Gourmet Garden,Paste Italian Herbs,5.99,29
Unknown,Organic English Cucumber,3.99,1
Unknown,Organic Iceberg Lettuce,4.99,1
Unknown,Shanghai Bok Choy,4.22,1
Unknown,Organic Green Dandelion,4.99,1
Unknown,Organic French Beans,6.49,1
PC Organics,Organic Broccoli,5.99,3
President's Choice,Cauliflower Slaw,4.49,4
Unknown,Radicchio Treviso,11.0,1
Unknown,"Fresh Dill, Baby",3.99,1
Unknown,Organic Beet Bunch,5.99,1
Unknown,French Beans,5.99,1
Unknown,Parsnips 1lb Bag,5.99,1
Unknown,Heirloom Tomatoes,2.42,1
Unknown,Popeye Select Spinach,11.99,1
The Little Potato Company,Oven BBQ Ready Garlic Herb Potatoes,4.99,24
Farmer's Market,Lemons,5.99,2
No Name,Naturally Imperfect Limes,6.99,9
PC Organics,Organic Tomato On The Vine Red (1 Bunch),7.92,3
Well,Cold Pressed Juice C Well,5.99,8
Marzetti,"Veggie Dip, Ranch",5.99,19
PC Organics,Organics Baby Cut Carrots,6.49,3
Unknown,Fresh Banana Strawberry Smoothie,5.99,1
Unknown,Fuyu Persimmon,2.49,1
Unknown,Spanish Onion,1.81,1
Unknown,Radishes,2.49,1
Unknown,Organic Carrots Bunched,4.99,1
Unknown,Fennel,5.49,1
Unknown,Radish,2.99,1
President's Choice,Red Potatoes,5.99,4
Unknown,Alphonso mango,5.99,1
Farmer's Market,Sweet Potatoes,5.99,2
PC Organics,Organics Whole White Mushrooms,8.99,3
Unknown,Organic Medjool Dates,11.99,1
President's Choice,Garden Salad,4.49,4
Unknown,Mixed Fruit Parfait,5.0,1
Bolthouse,Blue Goodness,6.99,12
COVE,Organic Raspberry Lemon Kombucha,3.99,36
Bolthouse,Red Goodness,6.99,12
The Little Potato Company,Microwave Ready Savoury Herb Potatoes,4.99,24
President's Choice,Jalapeno Hot Peppers,4.99,4
Remedy,Peach Kombucha,5.99,23
Loop,Cold-Pressed Juice Better Together Grapefruit Orange Ginger,8.99,32
Unknown,Organic Gold Beet Bunch,5.99,1
Unknown,Pitted Honey Dates,6.99,1
Unknown,Baby Bok Choy,4.35,1
Unknown,Romaine Lettuce,3.49,1
PC Organics,Baby Arugula,4.99,3
Unknown,Green Swiss Chard,3.99,1
Unknown,Collard Greens,3.99,1
Unknown,Organic Leeks,5.99,1
Unknown,Celery Root,4.16,1
President's Choice,Broccoli Slaw,4.49,4
Gourmet Garden,Paste Garlic,5.99,29
Unknown,Organic Green Kale,4.99,1
Gourmet Garden,Paste Basil,5.99,29
PC Organics,Organic Cucumber Mini,5.99,3
Unknown,"Organic, Red Kale",4.99,1
Unknown,Organic Swiss Chard Greens,4.99,1
The Little Potato Company,Oven BBQ Ready Onion Chive Potatoes,4.99,24
Marzetti,"Veggie Dip, Ranch Snack Pack",6.99,19
Bolthouse,100% Carrot,6.99,12
Marzetti,"Veggie Dip, Southwest Ranch",5.99,19
Farmer's Market,Red Onions,5.49,2
President's Choice,Salad Kit Chopped Sesame Wonton,6.99,4
President's Choice,Bacon Caesar Chop Salad Kit,6.99,4
President's Choice,Barbecue Ranch Chopped Salad Kit,6.99,4
Unknown,Kiwis,1.09,1
Marzetti,"Fruit Dip, Cream Cheese",5.99,19
Unknown,LoBok (Daikon Radish),3.09,1
Unknown,Red Cabbage,4.96,1
Unknown,Purple Eggplants,3.13,1
Unknown,"Cabbage, Green",4.77,1
